index,loc,locAKA,locWB,year,water.type,collector,station,lift,net.type,mesh.mm,mesh.in,spec,sample,fl,fl.thawed,wt,wt.thawed,wt.dressed,sex,mat,gonad.wt,gonad.prsrvd,oto.num,finclip,dnatissue,stomach.contents,stomach.prsvred,muscle.frozen,gillarch.frozen,life.hist,use,age,fecundity,egg.diam,lat,long,depthA,depthB,depth,net.len,net.height,wind.dir,wind.spd,temp.water,temp.air,sky,netset.time,netset.date,netlift.time,netlift.date,lake.zone,tag,remarks,edits
342,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,8,660,na,na,na,2676,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1226,,
343,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,9,610,na,na,na,2359,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1227,,
344,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,10,750,na,na,na,3901,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1228,,
345,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,11,600,na,na,na,2087,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1229,,
346,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,12,810,na,na,na,6078,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1230,,
347,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,13,790,na,na,na,5806,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1231,,
348,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,14,660,na,na,na,2903,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1232,,
349,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,15,580,na,na,na,2994,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1233,,
350,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,16,670,na,na,na,3402,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1234,,
351,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,17,690,na,na,na,3674,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1236,,
352,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,18,520,na,na,na,2812,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1237,,
353,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,19,820,na,na,na,5806,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1238,,
354,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,20,620,na,na,na,1996,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1239,,
355,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,21,680,na,na,na,2903,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1240,,
356,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,22,620,na,na,na,2359,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1241,,
357,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,23,630,na,na,na,3130,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1242,,
358,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,24,770,na,na,na,3402,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1243,,
359,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,25,720,na,na,na,3719,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1244,,
360,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,26,710,na,na,na,3810,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1245,,
361,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,27,740,na,na,na,4853,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1246,,
362,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,28,700,na,na,na,3946,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1247,,
363,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,29,730,na,na,na,4218,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1248,,
364,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,30,740,na,na,na,4400,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1249,,
