ID,No.,sex,day,Season,Time ,MP,ABS,ORD,Weight,AC,Age,Rep,Lact,Obs,Mother,Father,Ecto,Num,fleas,nits,SM,other,Total,Endo,NUM,Gram,eim,EIM,str,STR,asc,ASC,Comm
E943,0,2,172,2015,1343,A,88,102,110,1,0,NA,NA,TB,D700,D642,NA,NA,NA,NA,NA,NA,NA,BAB,4,0.04,429,10725,0,0,0,0,NA
E944,1,1,169,2015,1615,A,47,89,120,1,0,NA,NA,TB,D704,D642,Bab,0,2,0,3,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E945,1,1,169,2015,1615,A,47,89,115,1,0,NA,NA,TB,D704,D642,Bab,0,1,0,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E945,0,1,173,2015,1615,A,47,89,115,1,0,NA,NA,TB,D704,D642,NA,NA,NA,NA,NA,NA,NA,BAB,5,0.06,222,3700,21,350,0,0,NA
E946,1,1,169,2015,1615,A,47,89,110,1,0,NA,NA,TB,D704,D361,Bab,0,2,0,10,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E946,0,1,172,2015,1615,A,47,89,110,1,0,NA,NA,TB,D704,D361,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.06,238,3967,0,0,0,0,NA
E947,1,2,169,2015,1700,A,58,63,150,1,0,NA,NA,TB,D646,D642,Bab,0,0,0,3,0,3,BAB,0,0.04,2328,58200,0,0,0,0,NA
E948,1,2,169,2015,1700,A,58,63,140,1,0,NA,NA,TB,D646,D642,Bab,0,1,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E948,0,2,172,2015,1700,A,58,63,140,1,0,NA,NA,TB,D646,D642,NA,NA,NA,NA,NA,NA,NA,BAB,3,0.04,40,1000,0,0,0,0,NA
E949,1,2,172,2015,1220,A,146,120,90,1,0,NA,NA,TH,E234,A396,Bab,1,10,0,0,0,10,BAB,1,0.01,795,79500,0,0,0,0,NA
