compound,salinity,group,day,methane_mean,methane_sd,staff
toluene,brackish,treatment,207,65.7,47.5359863682242,Willy_Wonka
benzene,fresh,treatment,207,NA,NA,Chuck_Norris
hexane,fresh,treatment,207,32.5,41.1617540928469,Willy_Wonka
toluene,fresh,treatment,207,21.5666666666667,15.8298241725337,Chuck_Norris
benzene,saline,treatment,207,-3.53333333333333,0.950438495292217,Willy_Wonka
hexane,saline,treatment,207,10.3333333333333,11.9584001159575,Chuck_Norris
toluene,saline,treatment,207,25.5666666666667,4.83356321292412,Willy_Wonka
unamended,brackish,unamended,207,15.3666666666667,11.500144926623,Chuck_Norris
unamended,fresh,unamended,207,NA,NA,Willy_Wonka
unamended,saline,unamended,207,1.66666666666667,9.05556918881046,Chuck_Norris
unamended,brackish,media_only,242,NA,NA,Willy_Wonka
unamended,fresh,media_only,242,NA,NA,Chuck_Norris
unamended,saline,media_only,242,NA,NA,Willy_Wonka
benzene,brackish,sterile,242,NA,NA,Chuck_Norris
hexane,brackish,sterile,242,NA,NA,Willy_Wonka
toluene,brackish,sterile,242,NA,NA,Chuck_Norris
benzene,fresh,sterile,242,NA,NA,Willy_Wonka
hexane,fresh,sterile,242,NA,NA,Chuck_Norris
toluene,fresh,sterile,242,NA,NA,Willy_Wonka
benzene,saline,sterile,242,NA,NA,Chuck_Norris
hexane,saline,sterile,242,NA,NA,Willy_Wonka
toluene,saline,sterile,242,NA,NA,Chuck_Norris
benzene,brackish,treatment,242,92.1666666666667,5.95846736445986,Willy_Wonka
hexane,brackish,treatment,242,96.1666666666667,11.6458504770297,Chuck_Norris
toluene,brackish,treatment,242,66.3333333333333,54.6875061904758,Willy_Wonka
benzene,fresh,treatment,242,NA,NA,Chuck_Norris
hexane,fresh,treatment,242,37.1333333333333,45.4814614247754,Willy_Wonka
toluene,fresh,treatment,242,27,17.1607109409838,Chuck_Norris
benzene,saline,treatment,242,-0.3,1.57162336455017,Willy_Wonka
hexane,saline,treatment,242,13.9666666666667,15.2004385901636,Chuck_Norris
toluene,saline,treatment,242,34.2666666666667,2.18250620464945,Willy_Wonka
unamended,brackish,unamended,242,19.4166666666667,12.1575422406559,Chuck_Norris
unamended,fresh,unamended,242,NA,NA,Willy_Wonka
unamended,saline,unamended,242,7.23333333333333,9.98515564892873,Chuck_Norris
unamended,brackish,media_only,272,NA,NA,Willy_Wonka
unamended,fresh,media_only,272,NA,NA,Chuck_Norris
unamended,saline,media_only,272,NA,NA,Willy_Wonka
benzene,brackish,sterile,272,NA,NA,Chuck_Norris
hexane,brackish,sterile,272,NA,NA,Willy_Wonka
toluene,brackish,sterile,272,NA,NA,Chuck_Norris
benzene,fresh,sterile,272,NA,NA,Willy_Wonka
hexane,fresh,sterile,272,NA,NA,Chuck_Norris
toluene,fresh,sterile,272,NA,NA,Willy_Wonka
benzene,saline,sterile,272,NA,NA,Chuck_Norris
hexane,saline,sterile,272,NA,NA,Willy_Wonka
toluene,saline,sterile,272,NA,NA,Chuck_Norris
benzene,brackish,treatment,272,92.8333333333333,4.05257120027932,Willy_Wonka
hexane,brackish,treatment,272,106.266666666667,12.8539228772128,Chuck_Norris
toluene,brackish,treatment,272,77.4333333333333,50.1270718607554,Willy_Wonka
benzene,fresh,treatment,272,NA,NA,Chuck_Norris
hexane,fresh,treatment,272,43.8,45.7300776294989,Willy_Wonka
toluene,fresh,treatment,272,32.3666666666667,17.3234907952564,Chuck_Norris
benzene,saline,treatment,272,5.8,0.793725393319377,Willy_Wonka
hexane,saline,treatment,272,22.9,13.5746086499759,Chuck_Norris
toluene,saline,treatment,272,40.1333333333333,3.05341339050796,Willy_Wonka
unamended,brackish,unamended,272,25.3,13.6429468957407,Chuck_Norris
unamended,fresh,unamended,272,NA,NA,Willy_Wonka
unamended,saline,unamended,272,14.6333333333333,10.4882473909292,Chuck_Norris
unamended,brackish,media_only,312,NA,NA,Willy_Wonka
unamended,fresh,media_only,312,NA,NA,Chuck_Norris
unamended,saline,media_only,312,NA,NA,Willy_Wonka
benzene,brackish,sterile,312,NA,NA,Chuck_Norris
hexane,brackish,sterile,312,NA,NA,Willy_Wonka
toluene,brackish,sterile,312,NA,NA,Chuck_Norris
benzene,fresh,sterile,312,NA,NA,Willy_Wonka
hexane,fresh,sterile,312,NA,NA,Chuck_Norris
toluene,fresh,sterile,312,NA,NA,Willy_Wonka
benzene,saline,sterile,312,NA,NA,Chuck_Norris
hexane,saline,sterile,312,NA,NA,Willy_Wonka
toluene,saline,sterile,312,NA,NA,Chuck_Norris
benzene,brackish,treatment,312,105.833333333333,3.00055550412475,Willy_Wonka
hexane,brackish,treatment,312,117.566666666667,9.8520725399955,Chuck_Norris
toluene,brackish,treatment,312,87.4666666666667,54.6216379590848,Willy_Wonka
benzene,fresh,treatment,312,NA,NA,Chuck_Norris
hexane,fresh,treatment,312,46.7,48.3246314005601,Willy_Wonka
toluene,fresh,treatment,312,36.5666666666667,19.4716032553391,Chuck_Norris
benzene,saline,treatment,312,8.76666666666667,1.13724814061547,Willy_Wonka
hexane,saline,treatment,312,29.0333333333333,16.2666325136253,Chuck_Norris
toluene,saline,treatment,312,50.9666666666667,1.52752523165195,Willy_Wonka
unamended,brackish,unamended,312,29.3,13.7546355822319,Chuck_Norris
unamended,fresh,unamended,312,NA,NA,Willy_Wonka
unamended,saline,unamended,312,21,13.8697512594855,Chuck_Norris
unamended,brackish,media_only,358,NA,NA,Willy_Wonka
unamended,fresh,media_only,358,NA,NA,Chuck_Norris
unamended,saline,media_only,358,NA,NA,Willy_Wonka
benzene,brackish,sterile,358,NA,NA,Chuck_Norris
