year,season,province,park,site,beetle,sex,length,length(mm),width,width(mm),drymass(g),drymass(mg),tarsonemus,trichou,procto,totalmites,total mites p/a,Volume,condition,tarso p/a,tricho p/a,procto p/a
2011,mid,BC,Kootenay,dollyvarden2011,Dc34,m,3.3,5.0769230769,1.3,2,0.00515,5.15,0,0,0,0,0,85.06486154,0.6786183492,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc35,m,2.7,4.1538461538,1.1,1.6923076923,0.00231,2.31,0,0,0,0,0,49.830895204,-0.531200023,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc36,m,3,4.6153846154,1.2,1.8461538462,0.00363,3.63,0,0,0,0,0,65.892092837,0.0456912093,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc37,m,2.4,3.6923076923,1,1.5384615385,0.00226,2.26,0,0,0,0,0,36.606718227,0.0306473669,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc38,m,2.5,3.8461538462,1,1.5384615385,0.00227,2.27,10,0,0,10,1,38.131998155,-0.029923266,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc39,m,3.1,4.7692307692,1.2,1.8461538462,0.0039,3.9,0,0,0,0,0,68.088495934,0.2140694974,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc40,m,3.1,4.7692307692,1.3,2,0.00372,3.72,0,0,0,0,0,79.909415381,-0.51285291,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc41,m,2.6,4,1.1,1.6923076923,0.00235,2.35,0,0,0,0,0,47.985306491,-0.405809557,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc42,f,3.2,4.9230769231,1.5,2.3076923077,0.00728,7.28,0,0,0,0,0,109.82015478,1.6632569713,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc43,f,3.5,5.3846153846,1.4,2.1538461538,0.00461,4.61,2,0,0,2,1,104.63420303,-0.766802876,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc44,m,2.9,4.4615384615,1.1,1.6923076923,0.00287,2.87,0,0,0,0,0,53.522072631,-0.141980956,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc45,f,3.5,5.3846153846,1.3,2,0.00499,4.99,0,0,0,0,0,90.220307699,0.2800896088,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc46,f,3.2,4.9230769231,1.3,2,0.00315,3.15,0,0,0,0,0,82.48713846,-1.202117281,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc47,f,3.2,4.9230769231,1.3,2,0.00467,4.67,0,0,0,0,0,82.48713846,0.3178827195,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc48,f,3.2,4.9230769231,1.2,1.8461538462,0.00337,3.37,1,0,0,1,1,70.284899031,-0.417552214,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc49,m,3.2,4.9230769231,1.3,2,0.0038,3.8,0,0,0,0,0,82.48713846,-0.552117281,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc50,m,2.8,4.3076923077,1.1,1.6923076923,0.0025,2.5,0,0,0,0,0,51.676483918,-0.426590489,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc51,f,3.9,6,1.5,2.3076923077,0.00706,7.06,0,0,0,0,0,133.84331365,0.3317694982,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc52,f,3,4.6153846154,1.2,1.8461538462,0.0034,3.4,0,0,0,0,0,65.892092837,-0.184308791,A,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea1,f,2.4,3.6923076923,1,1.5384615385,0.00217,2.17,9,0,0,9,1,36.606718227,0.1443316023,P,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea2,m,2.5,3.8461538462,1,1.5384615385,0.00189,1.89,14,0,0,14,1,38.131998155,-0.210657062,P,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea3,f,3,4.6153846154,1.2,1.8461538462,0.00337,3.37,28,0,0,28,1,65.892092837,-0.095450752,P,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea4,m,2.6,4,1.1,1.6923076923,0.00248,2.48,0,0,0,0,0,47.985306491,-0.105083833,A,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea5,f,2.9,4.4615384615,1.2,1.8461538462,0.00399,3.99,1,0,0,1,1,63.695689755,0.6325329241,P,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea6,f,3.1,4.7692307692,1.2,1.8461538462,0.0034,3.4,0,0,0,0,0,68.088495934,-0.173434428,A,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea7,f,3.4,5.2307692308,1.4,2.1538461538,0.00528,5.28,1,2,0,3,1,101.64465437,0.0568149563,P,P,A
2011,mid,BC,Yoho,emeraldlake2011,Ea8,f,2.9,4.4615384615,1.2,1.8461538462,0.00359,3.59,1,0,0,1,1,63.695689755,0.2325329241,P,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea9,f,2.9,4.4615384615,1.2,1.8461538462,0.00332,3.32,0,0,0,0,0,63.695689755,-0.037467076,A,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea10,f,3.2,4.9230769231,1.3,2,0.00473,4.73,1,0,0,1,1,82.48713846,0.4486725804,P,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea11,f,3.4,5.2307692308,1.4,2.1538461538,0.0043,4.3,3,2,0,5,1,101.64465437,-0.923185044,P,P,A
2011,mid,BC,Yoho,emeraldlake2011,Ea12,f,2.7,4.1538461538,1.1,1.6923076923,0.00234,2.34,78,0,0,78,1,49.830895204,-0.335820117,P,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea13,m,2.9,4.4615384615,1.1,1.6923076923,0.00339,3.39,2,0,0,2,1,53.522072631,0.5327073152,P,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea14,f,3.3,5.0769230769,1.4,2.1538461538,0.00462,4.62,3,0,0,3,1,98.655105705,-0.456207262,P,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea15,f,3.3,5.0769230769,1.3,2,0.00463,4.63,5,0,0,5,1,85.06486154,0.2219417377,P,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea17,f,3.2,4.9230769231,1.3,2,0.00491,4.91,13,0,0,13,1,82.48713846,0.6286725804,P,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea18,f,2.9,4.4615384615,1.2,1.8461538462,0.0027,2.7,4,0,0,4,1,63.695689755,-0.657467076,P,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea19,f,2.8,4.3076923077,1.1,1.6923076923,0.00249,2.49,0,0,0,0,0,51.676483918,-0.276556401,A,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea20,f,2.7,4.1538461538,1.2,1.8461538462,0.00299,2.99,0,0,0,0,0,59.302883561,-0.151499723,A,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea21,f,2.5,3.8461538462,1,1.5384615385,0.00189,1.89,0,0,0,0,0,38.131998155,-0.210657062,A,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea22,f,2.2,3.3846153846,1.1,1.6923076923,0.00257,2.57,0,0,0,0,0,40.602951651,0.3478613012,A,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea23,f,3.5,5.3846153846,1.5,2.3076923077,0.00566,5.66,0,0,0,0,0,120.11579431,-0.471297769,A,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea24,m,3.2,4.9230769231,1.3,2,0.00381,3.81,0,0,0,0,0,82.48713846,-0.47132742,A,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea25,m,2.7,4.1538461538,1.1,1.6923076923,0.00261,2.61,0,0,0,0,0,49.830895204,-0.065820117,A,A,A
2011,mid,BC,Yoho,emeraldlake2011,Ea26,m,3.1,4.7692307692,1.3,2,0.00378,3.78,2,0,0,2,1,79.909415381,-0.374596577,P,A,A
