target_id,test_stat,pval,qval,rss,sigma_sq,tech_var,mean_obs,var_obs,sigma_sq_pmax,smooth_sigma_sq,final_sigma_sq,degrees_free,site1_qval,CUSH_b,site2_qval,GLEN_b,site3_qval,H22X_b,site4_qval,UPHI_b
TRINITY_GG_24594_c14_g1_i1,30.00214486,4.89E-06,0.023837221,19.20428017,1.010541906,0.000209682,8.71846132,1.010751588,1.010541906,0.127587688,1.010541906,4,1,0.160179998,1.82E-06,2.349731013,0.999991033,0.739947475,0.999992342,0.185789021
TRINITY_GG_29915_c36_g1_i2,29.5832531,5.95E-06,0.025554975,8.997814121,0.46197385,0.011595315,7.174119739,0.473569164,0.46197385,0.142725074,0.46197385,4,1,0.302029373,0.000144169,-1.436254879,0.999991033,-0.591538263,0.999992342,-0.520579981
TRINITY_GG_34317_c11_g1_i2,27.6100259,1.50E-05,0.03460134,44.53081003,2.208051788,0.135675056,3.34732054,2.343726844,2.208051788,0.857742144,2.208051788,4,1,-1.787104469,0.111020913,2.399219173,0.999991033,0.099659577,0.999992342,-0.212517621
TRINITY_GG_3647_c1_g1_i2,26.53260592,2.47E-05,0.041087875,161.7012335,8.478331406,0.032259831,3.579039911,8.510591237,8.478331406,0.750404587,8.478331406,4,0.002775241,6.418776929,0.000261685,6.191553622,0.999991033,3.049344149,0.007810488,5.701260759
TRINITY_GG_39094_c5_g1_i1,27.43628797,1.62E-05,0.034840085,7.088867584,0.370886389,0.002211905,6.438541999,0.373098294,0.370886389,0.172324394,0.370886389,4,1,0.126816052,0.000187121,1.514635086,0.999991033,0.713592501,0.999992342,0.596802296
TRINITY_GG_39156_c24_g1_i1,48.76301483,6.54E-10,3.93E-05,35.15055937,1.849862649,0.000166791,9.339781382,1.850029441,1.849862649,0.13645873,1.849862649,4,1,-0.604602458,8.01E-17,2.998777261,0.001197251,1.673372118,0.822657609,0.838154384
TRINITY_GG_39347_c8_g1_i1,29.90905329,5.11E-06,0.023837221,10.29360846,0.54161889,0.000149976,9.033341361,0.541768866,0.54161889,0.130978471,0.54161889,4,1,-0.36274238,3.91E-08,-1.89017124,0.851260961,-0.820603741,0.821403553,-0.73127594
TRINITY_GG_46899_c0_g1_i1,27.64425936,1.47E-05,0.03460134,56.76645532,2.911766198,0.075941977,3.209532542,2.987708175,2.911766198,0.925453011,2.911766198,4,0.003679354,-3.671989896,0.73566752,-1.386627205,0.999991033,-0.795840194,0.999992342,0.591720207
TRINITY_GG_46899_c4_g1_i2,31.72773141,2.17E-06,0.020197676,90.8473937,4.720500315,0.060941459,2.010893216,4.781441774,4.720500315,1.455500163,4.720500315,4,0.003679354,-4.495896031,0.016532253,-3.605347715,0.999991033,-1.21382702,0.999992342,0.355792594
TRINITY_GG_50776_c1_g1_i7,27.6576839,1.46E-05,0.03460134,90.96263069,4.292105834,0.495401044,2.502110727,4.787506879,4.292105834,1.261838206,4.292105834,4,1,2.085646496,0.000936705,4.628273366,0.014759384,4.451084293,0.002331393,4.811285385
