compound,salinity,group,replicate_number,day,methane_umoles
benzene,saline,sterile,2,102,NA
benzene,saline,sterile,3,102,NA
benzene,saline,treatment,1,102,-6.3
benzene,saline,treatment,2,102,-5.5
benzene,saline,treatment,3,102,-6.9
hexane,brackish,sterile,1,102,NA
hexane,brackish,sterile,2,102,NA
hexane,brackish,sterile,3,102,NA
hexane,brackish,treatment,1,102,14.3
hexane,brackish,treatment,2,102,9.5
hexane,brackish,treatment,3,102,21.3
hexane,fresh,sterile,1,102,NA
hexane,fresh,sterile,2,102,NA
hexane,fresh,sterile,3,102,NA
hexane,fresh,treatment,1,102,8.9
hexane,fresh,treatment,2,102,51.9
hexane,fresh,treatment,3,102,1
hexane,saline,sterile,1,102,NA
hexane,saline,sterile,2,102,NA
hexane,saline,sterile,3,102,NA
hexane,saline,treatment,1,102,9.9
hexane,saline,treatment,2,102,-6.6
hexane,saline,treatment,3,102,-0.8
toluene,brackish,sterile,1,102,NA
toluene,brackish,sterile,2,102,NA
toluene,brackish,sterile,3,102,NA
toluene,brackish,treatment,1,102,29
toluene,brackish,treatment,2,102,10.9
toluene,brackish,treatment,3,102,9
toluene,fresh,sterile,1,102,NA
toluene,fresh,sterile,2,102,NA
toluene,fresh,sterile,3,102,NA
toluene,fresh,treatment,1,102,16.8
toluene,fresh,treatment,2,102,15
toluene,fresh,treatment,3,102,1.6
toluene,saline,sterile,1,102,NA
toluene,saline,sterile,2,102,NA
toluene,saline,sterile,3,102,NA
toluene,saline,treatment,1,102,3.8
toluene,saline,treatment,2,102,0.5
toluene,saline,treatment,3,102,12.3
unamended,brackish,media_only,1,102,NA
unamended,brackish,media_only,2,102,NA
unamended,brackish,media_only,3,102,NA
unamended,brackish,unamended,1,102,2.4
unamended,brackish,unamended,2,102,3.2
unamended,brackish,unamended,3,102,4
unamended,fresh,media_only,1,102,NA
unamended,fresh,media_only,2,102,NA
unamended,fresh,media_only,3,102,NA
unamended,fresh,unamended,1,102,36.7
unamended,fresh,unamended,2,102,NA
unamended,fresh,unamended,3,102,12.4
unamended,saline,media_only,1,102,NA
unamended,saline,media_only,2,102,NA
unamended,saline,media_only,3,102,NA
unamended,saline,unamended,1,102,-9.2
unamended,saline,unamended,2,102,-5.3
unamended,saline,unamended,3,102,-8.6
benzene,brackish,sterile,1,116,NA
benzene,brackish,sterile,2,116,NA
benzene,brackish,sterile,3,116,NA
benzene,brackish,treatment,1,116,46.9
benzene,brackish,treatment,2,116,61.7
benzene,brackish,treatment,3,116,25.6
benzene,fresh,sterile,1,116,NA
benzene,fresh,sterile,2,116,NA
benzene,fresh,sterile,3,116,NA
benzene,fresh,treatment,1,116,41.9
benzene,fresh,treatment,2,116,14.6
benzene,fresh,treatment,3,116,25.9
benzene,saline,sterile,1,116,NA
benzene,saline,sterile,2,116,NA
benzene,saline,sterile,3,116,NA
benzene,saline,treatment,1,116,-5.3
benzene,saline,treatment,2,116,-4.2
benzene,saline,treatment,3,116,-5.3
hexane,brackish,sterile,1,116,NA
hexane,brackish,sterile,2,116,NA
